date,sku,SK,promo_flag,p10,p50,p90
2025-12-31,74382,СК Столица,0,0.0,120.27978288210826,679.6753542062897
2026-01-31,74382,СК Столица,0,0.0,8.180838290909561,422.5750398478067
2026-02-28,74382,СК Столица,0,0.0,97.28202610809473,891.3624464819039
2026-03-31,74382,СК Столица,0,575.8231841346828,641.1189989563884,1150.764215430135
2026-04-30,74382,СК Столица,0,73.36021726666662,156.604666526691,859.4632641250699
2026-05-31,74382,СК Столица,0,186.88589449218935,312.818577995559,697.8823832152824
2026-06-30,74382,СК Столица,0,103.90613026588817,259.46650399741605,936.944668184352
2026-07-31,74382,СК Столица,0,236.9482198370944,356.284306726979,914.4802238374494
2025-08-31,74387,СК Столица,0,1041.6756194092534,1061.044929132109,3073.8725213327557
2025-09-30,74387,СК Столица,0,3639.878324058885,3988.783043125361,4708.7833040725545
2025-10-31,74387,СК Столица,0,1309.7674865943502,1685.533347089405,3198.909939613482
2025-11-30,74387,СК Столица,0,41.52303664854493,160.8244163657034,3316.923210481275
2025-12-31,74387,СК Столица,0,680.6565393312152,758.62549419117,828.2372063458162
2026-01-31,74387,СК Столица,0,340.9232524868369,553.8264223012354,632.8948196800947
2026-02-28,74387,СК Столица,0,481.21216559253475,539.645178355016,3773.93906404112
2026-03-31,74387,СК Столица,0,1319.2761677100948,1477.7808005946436,1596.76601659784
2026-04-30,74387,СК Столица,0,939.4842004842968,1021.3514287564766,2369.98974258668
2026-05-31,74387,СК Столица,0,63.003041390456,197.9008542001156,1808.397008831318
2026-06-30,74387,СК Столица,0,1315.4573865438904,1462.565911985441,2799.169459490207
2026-07-31,74387,СК Столица,0,1107.1616922740614,1293.5437694613024,2089.9852099716295
2025-08-31,74388,СК Столица,0,381.37652002694387,456.94707659329,3634.608952132787
2025-09-30,74388,СК Столица,0,1905.2412068177416,2213.903142026569,2648.3294164925323
2025-10-31,74388,СК Столица,0,1820.944118938794,1883.2286289652088,3820.5882857346674
